docname,topic,proportion
12322_mda.txt,016,1.0
12031_mda.txt,011,0.509747
12031_mda.txt,012,0.146712
12031_mda.txt,019,0.138059
12031_mda.txt,000,0.06596
12031_mda.txt,004,0.047126
12031_mda.txt,014,0.024433
12031_mda.txt,008,0.024175
12031_mda.txt,001,0.019127
12031_mda.txt,013,0.013221
12031_mda.txt,010,0.01144
12153_mda.txt,011,0.615955
12153_mda.txt,008,0.096384
12153_mda.txt,005,0.069814
12153_mda.txt,004,0.047669
12153_mda.txt,000,0.047492
12153_mda.txt,002,0.036784
12153_mda.txt,012,0.036171
12153_mda.txt,013,0.035405
12153_mda.txt,014,0.014326
12393_mda.txt,003,0.656224
12393_mda.txt,013,0.205851
12393_mda.txt,001,0.137926
12257_mda.txt,000,0.722079
12257_mda.txt,004,0.085536
12257_mda.txt,019,0.068629
12257_mda.txt,012,0.064327
12257_mda.txt,001,0.044957
12257_mda.txt,009,0.014472
12186_mda.txt,003,0.454707
12186_mda.txt,001,0.183578
12186_mda.txt,004,0.176682
12186_mda.txt,013,0.125131
12186_mda.txt,015,0.033024
12186_mda.txt,006,0.026878
12207_mda.txt,011,0.453596
12207_mda.txt,013,0.187588
12207_mda.txt,008,0.135176
12207_mda.txt,004,0.074187
12207_mda.txt,019,0.066713
12207_mda.txt,000,0.033965
12207_mda.txt,001,0.026336
12207_mda.txt,014,0.018374
12207_mda.txt,010,0.002155
12207_mda.txt,009,0.001909
12280_mda.txt,001,1.0
12419_mda.txt,011,0.417855
12419_mda.txt,000,0.343862
12419_mda.txt,005,0.108396
12419_mda.txt,002,0.071758
12419_mda.txt,013,0.058129
12226_mda.txt,001,0.440135
12226_mda.txt,008,0.243748
12226_mda.txt,000,0.131183
12226_mda.txt,011,0.061266
12226_mda.txt,013,0.04258
12226_mda.txt,012,0.035418
12226_mda.txt,009,0.018318
12226_mda.txt,014,0.01556
12226_mda.txt,010,0.011792
12263_mda.txt,000,0.476321
12263_mda.txt,001,0.217069
12263_mda.txt,013,0.111498
12263_mda.txt,011,0.075875
12263_mda.txt,019,0.058823
12263_mda.txt,009,0.021192
12263_mda.txt,014,0.01906
12263_mda.txt,010,0.016326
12263_mda.txt,008,0.003835
12223_mda.txt,003,0.431802
12223_mda.txt,004,0.260475
12223_mda.txt,001,0.252259
12223_mda.txt,013,0.055463
12518_mda.txt,011,0.43067
12518_mda.txt,008,0.159118
12518_mda.txt,013,0.093143
12518_mda.txt,012,0.071046
12518_mda.txt,004,0.058911
12518_mda.txt,010,0.043023
12518_mda.txt,000,0.038485
12518_mda.txt,001,0.027819
12518_mda.txt,019,0.02681
12518_mda.txt,002,0.01683
12120_mda.txt,011,0.560723
12120_mda.txt,008,0.221357
12120_mda.txt,000,0.085615
12120_mda.txt,013,0.049278
12120_mda.txt,002,0.03332
12120_mda.txt,019,0.017316
12120_mda.txt,009,0.014604
12120_mda.txt,014,0.010678
12120_mda.txt,010,0.007107
12091_mda.txt,016,1.0
12032_mda.txt,011,0.251297
12032_mda.txt,013,0.160313
12032_mda.txt,017,0.149949
12032_mda.txt,004,0.118219
12032_mda.txt,001,0.08958
12032_mda.txt,000,0.073241
12032_mda.txt,008,0.036463
12032_mda.txt,003,0.03283
12032_mda.txt,012,0.032033
12032_mda.txt,014,0.024857
12344_mda.txt,001,0.3577
12344_mda.txt,013,0.249169
12344_mda.txt,011,0.155009
12344_mda.txt,014,0.094339
12344_mda.txt,004,0.047028
12344_mda.txt,008,0.04264
12344_mda.txt,000,0.041993
12344_mda.txt,010,0.012121
12189_mda.txt,004,0.862598
12189_mda.txt,005,0.0736
12189_mda.txt,001,0.063801
12217_mda.txt,012,0.401195
12217_mda.txt,002,0.199249
12217_mda.txt,000,0.141759
12217_mda.txt,001,0.102309
12217_mda.txt,013,0.0637
12217_mda.txt,019,0.058253
12217_mda.txt,016,0.033535
12439_mda.txt,013,0.345784
12439_mda.txt,001,0.33928
12439_mda.txt,011,0.139285
12439_mda.txt,000,0.082115
12439_mda.txt,017,0.045676
12439_mda.txt,010,0.014478
12439_mda.txt,014,0.013927
12439_mda.txt,008,0.013044
12439_mda.txt,009,0.006411
12524_mda.txt,016,1.0
12276_mda.txt,008,0.42738
12276_mda.txt,000,0.220876
12276_mda.txt,004,0.091741
12276_mda.txt,011,0.085485
12276_mda.txt,012,0.062908
12276_mda.txt,013,0.052691
12276_mda.txt,001,0.022062
12276_mda.txt,014,0.018599
12276_mda.txt,010,0.018257
11949_mda.txt,008,0.338766
11949_mda.txt,004,0.18379
11949_mda.txt,013,0.165301
11949_mda.txt,000,0.137352
11949_mda.txt,011,0.09432
11949_mda.txt,001,0.028108
11949_mda.txt,010,0.023247
11949_mda.txt,012,0.013865
11949_mda.txt,017,0.007743
11949_mda.txt,006,0.007508
12534_mda.txt,007,1.0
12229_mda.txt,011,0.340407
12229_mda.txt,008,0.186865
12229_mda.txt,013,0.118535
12229_mda.txt,004,0.111115
12229_mda.txt,019,0.048521
12229_mda.txt,000,0.044115
12229_mda.txt,014,0.04194
12229_mda.txt,002,0.039178
12229_mda.txt,006,0.022151
12229_mda.txt,010,0.021286
12292_mda.txt,011,0.447441
12292_mda.txt,003,0.18911
12292_mda.txt,000,0.178468
12292_mda.txt,002,0.178398
12292_mda.txt,001,0.006583
11916_mda.txt,002,1.0
12315_mda.txt,016,1.0
12039_mda.txt,011,0.550481
12039_mda.txt,008,0.191134
12039_mda.txt,000,0.061038
12039_mda.txt,002,0.048529
12039_mda.txt,013,0.045528
12039_mda.txt,012,0.043233
12039_mda.txt,004,0.027715
12039_mda.txt,019,0.020977
12039_mda.txt,014,0.011365
12078_mda.txt,002,0.417993
12078_mda.txt,019,0.371854
12078_mda.txt,000,0.132574
12078_mda.txt,007,0.077579
12043_mda.txt,011,0.372135
12043_mda.txt,012,0.252302
12043_mda.txt,006,0.114344
12043_mda.txt,014,0.047233
12043_mda.txt,013,0.044607
12043_mda.txt,010,0.037823
12043_mda.txt,001,0.035404
12043_mda.txt,004,0.034428
12043_mda.txt,008,0.031974
12043_mda.txt,009,0.013422
12205_mda.txt,004,0.363228
12205_mda.txt,000,0.222883
12205_mda.txt,008,0.131542
12205_mda.txt,019,0.125958
12205_mda.txt,007,0.079172
12205_mda.txt,002,0.077216
12488_mda.txt,007,1.0
11953_mda.txt,000,0.829479
11953_mda.txt,011,0.105541
11953_mda.txt,003,0.035633
11953_mda.txt,001,0.029346
12442_mda.txt,002,1.0
12272_mda.txt,001,0.372686
12272_mda.txt,000,0.178645
12272_mda.txt,008,0.14757
12272_mda.txt,013,0.101675
12272_mda.txt,011,0.058254
12272_mda.txt,019,0.051847
12272_mda.txt,006,0.030872
12272_mda.txt,014,0.018852
12272_mda.txt,010,0.016701
12272_mda.txt,009,0.012153
12514_mda.txt,013,0.304701
12514_mda.txt,001,0.210795
12514_mda.txt,004,0.178174
12514_mda.txt,000,0.136699
12514_mda.txt,012,0.056939
12514_mda.txt,014,0.047633
12514_mda.txt,011,0.041055
12514_mda.txt,010,0.024004
11943_mda.txt,011,0.371049
11943_mda.txt,013,0.216011
11943_mda.txt,014,0.169021
11943_mda.txt,004,0.1185
11943_mda.txt,000,0.045454
11943_mda.txt,008,0.034288
11943_mda.txt,012,0.020351
11943_mda.txt,010,0.01741
11943_mda.txt,009,0.004977
11943_mda.txt,006,0.00294
12080_mda.txt,001,0.29622
12080_mda.txt,006,0.181043
12080_mda.txt,000,0.119491
