topic,term,weight
000,rate,0.047241103
000,interest,0.040154237
000,risk,0.029277643
000,loan,0.016072031
000,currency,0.013450292
000,loar,0.013974645
000,debt,0.013728171
000,foreign,0.012088759
000,investment,0.013333551
000,bank,0.013421666
001,million,0.073400386
001,include,0.02574644
001,statement,0.030853685
001,relate,0.019582191
001,income,0.022672601
001,datar,0.020316795
001,increase,0.011977421
001,tax,0.011154772
001,expensar,0.012357057
001,net,0.013647607
002,statement,0.07257434
002,forward,0.057137657
002,report,0.034590803
002,result,0.047314644
002,part,0.026224976
002,factor,0.025822746
002,future,0.021582415
002,update,0.019767202
002,datar,0.019740654
002,obligation,0.014575068
003,income,0.09199626
003,net,0.06849089
003,share,0.059399277
003,loss,0.051557686
003,datar,0.035533037
003,operation,0.044913083
003,year,0.025086056
003,asset,0.024156244
003,cash,0.021587536
003,expensar,0.021390146
004,company,0.047453262
004,share,0.048684992
004,stock,0.039226864
004,common,0.028998822
004,purchase,0.021450285
004,plan,0.020437848
004,repurchase,0.017352259
004,equity,0.018478228
004,program,0.016314896
004,compensation,0.014981663
005,annual,0.121123224
005,report,0.10166772
005,item,0.13458158
005,form,0.08032504
005,resource,0.035138085
005,head,0.034332618
005,capital,0.03652053
005,page,0.03250159
005,information,0.032140616
005,security,0.03238647
006,item,0.1743455
006,forward,0.006313899
006,sec,0.0034204738
006,make,0.0038871097
006,file,0.002440786
006,read,0.0017640818
006,business,0.0030284792
006,document,0.0016330793
006,current,0.0026744378
006,timar,0.0025373036
007,discussion,0.14392337
007,analysis,0.14144085
007,condition,0.1338228
007,item,0.1580887
007,result,0.13092421
007,operation,0.13002965
007,financial,0.13500145
007,management,0.026768958
008,discussion,0.21046394
008,applicable,0.005729955
008,business,0.004252613
008,service,0.0032709618
008,product,0.0030981654
008,material,0.001922279
008,provide,0.0017158245
008,salir,0.004406008
008,consider,0.0021386335
008,u.s,0.0017000589
009,analysis,0.21203859
009,business,0.003984389
009,service,0.0025914975
009,unregistered,0.0029089623
009,applicable,0.0034268864
009,sec,0.0029070955
009,salir,0.0042849462
009,company,0.006074439
009,provide,0.0014093387
009,material,0.001509637
010,condition,0.21832322
010,service,0.0030504821
010,conditional,0.0011740942
010,customer,0.0021253645
010,provide,0.001586205
010,product,0.0024752007
010,business,0.0027416884
010,segment,0.0012512662
010,fee,0.0011914613
010,u.s,0.0013684422
011,result,0.22550508
011,service,0.004442505
011,consider,0.0039126263
011,customer,0.0037747852
011,product,0.004055489
011,disclose,0.0031855367
011,cautionary,0.0032363788
011,1a,0.0036334218
011,light,0.0032244483
011,company,0.0073002423
012,financial,0.21913685
012,forward,0.009337306
012,future,0.005693171
012,factor,0.0052902014
012,make,0.004565611
012,expectation,0.0027777925
012,term,0.0039826855
012,actual,0.002768407
012,speak,0.00232244
012,cost,0.0031884406
013,operation,0.23775074
013,net,0.010888224
013,product,0.0057430845
013,revenue,0.0065118545
013,asset,0.0070674494
013,average,0.004949411
013,loan,0.0047630146
013,service,0.0041337176
013,customer,0.0035941633
013,development,0.003324807
014,management,0.15608072
014,management's,0.07234672
014,applicable,0.0070469957
014,form,0.010462732
014,salir,0.0066402904
014,unregistered,0.004468389
014,head,0.0046922425
014,small,0.0029910982
014,resource,0.00442726
014,sec,0.0035510845
015,notar,0.14232397
015,financial,0.1386026
015,statement,0.10562968
015,consolidate,0.09963753
015,item,0.11658536
015,account,0.053026527
015,issue,0.04677275
015,adopt,0.044627067
015,recently,0.044477284
015,standard,0.044185914
016,item,0.20781204
016,market,0.13651448
016,7a,0.12916492
016,quantitative,0.13935174
016,qualitative,0.13931133
016,disclosure,0.13889332
016,risk,0.10895216
017,quantitative,0.2317416
017,factor,0.005353024
017,year,0.0061598443
017,1a,0.003113946
017,management's,0.006684827
017,significant,0.0020507516
017,uncertainty,0.0024797188
017,end,0.003925728
017,bank,0.003880153
017,business,0.0030419866
018,qualitative,0.23177634
018,factor,0.00551608
018,1a,0.0033066862
018,year,0.0060933735
018,management's,0.0066495747
018,significant,0.0020705343
018,end,0.0040424205
018,uncertainty,0.0025393013
018,bank,0.003878154
018,business,0.0030639148
019,disclosure,0.23212512
019,1a,0.004436175
019,factor,0.0053472603
019,uncertainty,0.0032678402
019,event,0.0027381585
019,significant,0.0022543743
019,product,0.0032304837
019,business,0.003498225
019,detail,0.0018069145
019,end,0.0039343694
