docname,topic,proportion
18047_mda.txt,000,0.775239
18047_mda.txt,010,0.043338
18047_mda.txt,009,0.042633
18047_mda.txt,011,0.041891
18047_mda.txt,012,0.036452
18047_mda.txt,003,0.029381
18047_mda.txt,016,0.022163
18047_mda.txt,008,0.008903
17979_mda.txt,000,0.861538
17979_mda.txt,010,0.072064
17979_mda.txt,016,0.02457
17979_mda.txt,003,0.010978
17979_mda.txt,009,0.010835
17979_mda.txt,008,0.006106
17979_mda.txt,004,0.005448
17979_mda.txt,013,0.00463
17979_mda.txt,006,0.003831
17736_mda.txt,000,0.653026
17736_mda.txt,009,0.085433
17736_mda.txt,003,0.074381
17736_mda.txt,016,0.068959
17736_mda.txt,012,0.033664
17736_mda.txt,010,0.029937
17736_mda.txt,013,0.019276
17736_mda.txt,008,0.01907
17736_mda.txt,011,0.016253
17719_mda.txt,015,1.0
17818_mda.txt,012,0.353322
17818_mda.txt,010,0.26086
17818_mda.txt,000,0.196507
17818_mda.txt,001,0.140005
17818_mda.txt,003,0.049305
17848_mda.txt,000,0.56113
17848_mda.txt,010,0.291607
17848_mda.txt,011,0.068629
17848_mda.txt,013,0.019646
17848_mda.txt,001,0.018798
17848_mda.txt,009,0.015033
17848_mda.txt,003,0.012534
17848_mda.txt,016,0.010016
17848_mda.txt,008,0.002608
17627_mda.txt,012,0.481096
17627_mda.txt,016,0.322535
17627_mda.txt,001,0.196368
17567_mda.txt,000,0.777103
17567_mda.txt,010,0.086827
17567_mda.txt,009,0.051672
17567_mda.txt,012,0.025471
17567_mda.txt,011,0.02104
17567_mda.txt,008,0.011782
17567_mda.txt,013,0.010817
17567_mda.txt,006,0.009416
17567_mda.txt,016,0.004091
17567_mda.txt,018,0.001782
17477_mda.txt,000,0.452486
17477_mda.txt,011,0.240337
17477_mda.txt,010,0.194502
17477_mda.txt,012,0.059059
17477_mda.txt,009,0.030252
17477_mda.txt,008,0.012352
17477_mda.txt,004,0.006813
17477_mda.txt,016,0.0042
17648_mda.txt,001,1.0
18082_mda.txt,000,0.686336
18082_mda.txt,009,0.108166
18082_mda.txt,010,0.052871
18082_mda.txt,001,0.052123
18082_mda.txt,016,0.033044
18082_mda.txt,011,0.030877
18082_mda.txt,013,0.019055
18082_mda.txt,006,0.017527
17718_mda.txt,001,0.594737
17718_mda.txt,011,0.233176
17718_mda.txt,004,0.172086
17615_mda.txt,016,0.274552
17615_mda.txt,012,0.246525
17615_mda.txt,000,0.2175
17615_mda.txt,009,0.113165
17615_mda.txt,010,0.071028
17615_mda.txt,003,0.04653
17615_mda.txt,011,0.0307
17488_mda.txt,000,0.787458
17488_mda.txt,011,0.059401
17488_mda.txt,009,0.055284
17488_mda.txt,012,0.044867
